Código OACI,CIAD,Nome,Município,UF,Município Servido,UF Servido,LATGEOPOINT,LONGEOPOINT,Latitude,Longitude,Altitude
SBRB,AC0001,Plácido de Castro,RIO BRANCO,Acre,Rio Branco,Acre,-9.8683333,-67.898056,"09°52'06.0""S","067°53'53.0""W","193,0"
SNGA,ES0007,Guarapari,GUARAPARI,Espírito Santo,Guarapari,Espírito Santo,-20.646389,-40.491667,"20°38'47.0""S","040°29'30.0""W","9,0"
SBIZ,MA0002,Prefeito Renato Moreira,IMPERATRIZ,Maranhão,Imperatriz,Maranhão,-5.5305556,-47.458333,"05°31'50.0""S","047°27'30.0""W","131,0"
SBPC,MG0018,Embaixador Walther Moreira Salles,POÇOS DE CALDAS,Minas Gerais,Poços de Caldas,Minas Gerais,-21.837778,-46.566111,"21°50'16.0""S","046°33'58.0""W","1261,0"
SSCD,MS0007,Chapadão do Sul,CHAPADÃO DO SUL,Mato Grosso do Sul,Chapadão do Sul,Mato Grosso do Sul,-18.839167,-52.488056,"18°50'21.0""S","052°29'17.0""W","817,0"
SBBE,PA0001,Aeroporto Internacional de Bélem,BELÉM,Pará,Belém,Pará,-1.3847222,-48.478889,"01°23'05.0""S","048°28'44.0""W","17,0"
SBKG,PB0003,Presidente João Suassuna,CAMPINA GRANDE,Paraíba,Campina Grande,Paraíba,-7.2691667,-35.895,"07°16'09.0""S","035°53'42.0""W","502,0"
SBCA,PR0005,Coronel Adalberto Mendes da Silva,CASCAVEL,Paraná,Cascavel,Paraná,-25.002222,-53.501944,"25°00'08.0""S","053°30'07.0""W","759,0"
SSNG,RS0046,Montenegro,MONTENEGRO,Rio Grande do Sul,Montenegro,Rio Grande do Sul,-29.719722,-51.488889,"29°43'11.0""S","051°29'20.0""W","24,0"
SIMK,SP0011,Tenente Lund Pressoto,FRANCA,São Paulo,Franca,São Paulo,-20.590278,-47.3825,"20°35'25.0""S","047°22'57.0""W","1003,0"
SBML,SP0014,Frank Miloye Milenkovich,MARÍLIA,São Paulo,Marília,São Paulo,-22.195556,-49.926944,"22°11'44.0""S","049°55'37.0""W","650,0"
SNWC,CE0011,Camocim,CAMOCIM,Ceará,Camocim,Ceará,-2.8958333,-40.858889,"02°53'45.0""S","040°51'32.0""W","14,0"
SBJP,PB0001,Presidente Castro Pinto,BAYEUX,Paraíba,João Pessoa,Paraíba,-7.1483333,-34.950278,"07°08'54.0""S","034°57'01.0""W","66,0"
SBMO,AL0001,Zumbi dos Palmares,MACEIÓ,Alagoas,Maceió,Alagoas,-9.5108333,-35.791667,"09°30'39.0""S","035°47'30.0""W","118,0"
SJAU,TO0007,Araguacema,ARAGUACEMA,Tocantins,Araguacema,Tocantins,-8.8377778,-49.557778,"08°50'16.0""S","049°33'28.0""W","207,0"
SSKM,PR0017,Campo Mourão,CAMPO MOURÃO,Paraná,Campo Mourão,Paraná,-24.0025,-52.356944,"24°00'09.0""S","052°21'25.0""W","574,0"
SWNS,GO0004,Anápolis,ANÁPOLIS,Goiás,Anápolis,Goiás,-16.3625,-48.928056,"16°21'45.0""S","048°55'41.0""W","1112,0"
SNGX,MG0023,Guaxupé,GUAXUPÉ,Minas Gerais,Guaxupé,Minas Gerais,-21.326667,-46.730278,"21°19'36.0""S","046°43'49.0""W","849,0"
SBGL,RJ0001,RIo de Janeiro/Galeão - Antônio Carlos Jobim,RIO DE JANEIRO,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,-22.81,-43.250556,"22°48'36.0""S","043°15'02.0""W","9,0"
SBCF,MG0001,Tancredo Neves,CONFINS,Minas Gerais,Belo Horizonte,Minas Gerais,-19.624444,-43.971944,"19°37'28.0""S","043°58'19.0""W","829,0"
SBAE,SP0010,Bauru/Arealva,AREALVA,São Paulo,Bauru,São Paulo,-22.157778,-49.068333,"22°09'28.0""S","049°04'06.0""W","598,0"
SBMG,PR0004,Silvio Name Júnior,MARINGÁ,Paraná,Maringá,Paraná,-23.479444,-52.012222,"23°28'46.0""S","052°00'44.0""W","549,0"
SNQG,PI0003,Cangapara,FLORIANO,Piauí,Floriano,Piauí,-6.8461111,-43.078056,"06°50'46.0""S","043°04'41.0""W","210,0"
SSKG,MS0003,Estância Santa Maria,CAMPO GRANDE,Mato Grosso do Sul,Campo Grande,Mato Grosso do Sul,-20.505556,-54.524722,"20°30'20.0""S","054°31'29.0""W","618,0"
SNIC,BA0019,Irecê,IRECÊ,Bahia,Irecê,Bahia,-11.34,-41.846944,"11°20'24.0""S","041°50'49.0""W","784,0"
SBPP,MS0005,Aeroporto Internacional de Ponta Porã,PONTA PORÃ,Mato Grosso do Sul,Ponta Porã,Mato Grosso do Sul,-22.549722,-55.703056,"22°32'59.0""S","055°42'11.0""W","657,0"
SNTS,PB0005,Patos,PATOS,Paraíba,Patos,Paraíba,-7.0377778,-37.2575,"07°02'16.0""S","037°15'27.0""W","265,0"
SNKK,RN0005,Caicó,CAICÓ,Rio Grande do Norte,Caicó,Rio Grande do Norte,-6.4391667,-37.078056,"06°26'21.0""S","037°04'41.0""W","182,0"
SBCX,RS0007,Hugo Cantergiani,CAXIAS DO SUL,Rio Grande do Sul,Caxias do Sul,Rio Grande do Sul,-29.195556,-51.189722,"29°11'44.0""S","051°11'23.0""W","754,0"
SBBG,RS0010,Comandante Gustavo Kraemer,BAGÉ,Rio Grande do Sul,Bagé,Rio Grande do Sul,-31.390833,-54.109722,"31°23'27.0""S","054°06'35.0""W","186,0"
SSCN,RS0019,Canela,CANELA,Rio Grande do Sul,Canela,Rio Grande do Sul,-29.370556,-50.832222,"29°22'14.0""S","050°49'56.0""W","837,0"
SSIM,SC0009,Forquilhinha-Criciúma,FORQUILHINHA,Santa Catarina,Forquilhinha,Santa Catarina,-28.724444,-49.421111,"28°43'28.0""S","049°25'16.0""W","28,0"
SDPW,SP0041,Pedro Morganti,PIRACICABA,São Paulo,Piracicaba,São Paulo,-22.711944,-47.618056,"22°42'43.0""S","047°37'05.0""W","584,0"
SSKU,SC0016,Lauro Antônio da Costa,CURITIBANOS,Santa Catarina,Curitibanos,Santa Catarina,-27.287222,-50.603889,"27°17'14.0""S","050°36'14.0""W","978,0"
SSAP,PR0014,Capitão João Busse,APUCARANA,Paraná,Apucarana,Paraná,-23.612222,-51.385,"23°36'44.0""S","051°23'06.0""W","800,0"
SBPA,RS0001,Salgado Filho,PORTO ALEGRE,Rio Grande do Sul,Porto Alegre,Rio Grande do Sul,-29.994722,-51.171111,"29°59'41.0""S","051°10'16.0""W","4,0"
SBNM,RS0008,Santo Ângelo,SANTO ÂNGELO,Rio Grande do Sul,Santo Ângelo,Rio Grande do Sul,-28.281667,-54.168333,"28°16'54.0""S","054°10'06.0""W","322,0"
SNAL,AL0003,Arapiraca,ARAPIRACA,Alagoas,Arapiraca,Alagoas,-9.7763889,-36.630556,"09°46'35.0""S","036°37'50.0""W","270,0"
SWPZ,GO0010,Ouriçanga de Abreu,POSSE,Goiás,Posse,Goiás,-14.118056,-46.345278,"14°07'05.0""S","046°20'43.0""W","841,0"
SBSV,BA0001,Deputado Luis Eduardo Magalhães-Intl,SALVADOR,Bahia,Salvador,Bahia,-12.908611,-38.3225,"12°54'31.0""S","038°19'21.0""W","20,0"
SBSO,MT0005,Regional de Sorriso Adolino Bedin,SORRISO,Mato Grosso,Sorriso,Mato Grosso,-12.472778,-55.668889,"12°28'22.0""S","055°40'08.0""W","386,0"
SBGR,SP0002,Guarulhos - Governador André Franco Montoro,GUARULHOS,São Paulo,Guarulhos,São Paulo,-23.435556,-46.473056,"23°26'08.0""S","046°28'23.0""W","750,0"
SBJH,SP1176,São Paulo Catarina Aeroporto Executivo,SÃO ROQUE,São Paulo,São Roque,São Paulo,-23.426944,-47.165833,"23°25'37.0""S","047°09'57.0""W","777,0"
SBMS,RN0002,Dix-Sept Rosado,MOSSORÓ,Rio Grande do Norte,Mossoró,Rio Grande do Norte,-5.1958333,-37.361667,"05°11'45.0""S","037°21'42.0""W","23,0"
SWBE,CE0006,Walfrido Samito de Almeida,SÃO BENEDITO,Ceará,São Benedito,Ceará,-4.0427778,-40.893889,"04°02'34.0""S","040°53'38.0""W","884,0"
SDDN,SP0020,Paulino Ribeiro de Andrade,ANDRADINA,São Paulo,Andradina,São Paulo,-20.925,-51.381944,"20°55'30.0""S","051°22'55.0""W","380,0"
SNKI,ES0006,Aeródromo de Cachoeiro do Itapemirim,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,Cachoeiro de Itapemirim,Espírito Santo,-20.835278,-41.186389,"20°50'07.0""S","041°11'11.0""W","78,0"
SBDB,MS0004,Aeródromo Público de Bonito,BONITO,Mato Grosso do Sul,Bonito,Mato Grosso do Sul,-21.247222,-56.4525,"21°14'50.0""S","056°27'09.0""W","334,0"
SNVI,MG0035,Mello Viana,TRÊS CORAÇÕES,Minas Gerais,Três Corações,Minas Gerais,-21.789167,-45.268056,"21°47'21.0""S","045°16'05.0""W","976,0"
SSLN,SC0018,Helmuth Baungartem,LONTRAS,Santa Catarina,Lontras,Santa Catarina,-27.159722,-49.542778,"27°09'35.0""S","049°32'34.0""W","334,0"
SNTF,BA0016,Teixeira de Freitas,TEIXEIRA DE FREITAS,Bahia,Teixeira de Freitas,Bahia,-17.524444,-39.668333,"17°31'28.0""S","039°40'06.0""W","105,0"
SBAC,CE0004,Aeroporto Regional de Canoa Quebrada Dragão do Mar,ARACATI,Ceará,Aracati,Ceará,-4.5686111,-37.804722,"04°34'07.0""S","037°48'17.0""W","36,0"
SBVT,ES0001,Eurico de Aguiar Salles,VITÓRIA,Espírito Santo,Vitória,Espírito Santo,-20.258056,-40.286389,"20°15'29.0""S","040°17'11.0""W","3,0"
SBSL,MA0001,Marechal Cunha Machado Internacional,SÃO LUÍS,Maranhão,São Luís,Maranhão,-2.5869444,-44.236111,"02°35'13.0""S","044°14'10.0""W","54,0"
SBZM,MG0006,Presidente Itamar Franco,GOIANÁ,Minas Gerais,Goianá,Minas Gerais,-21.513056,-43.173056,"21°30'47.0""S","043°10'23.0""W","412,0"
SBTD,PR0008,Luiz Dalcanale Filho,TOLEDO,Paraná,Toledo,Paraná,-24.685278,-53.696389,"24°41'07.0""S","053°41'47.0""W","562,0"
SWPM,RO0009,Pimenta Bueno,PIMENTA BUENO,Rondônia,Pimenta Bueno,Rondônia,-11.641667,-61.181111,"11°38'30.0""S","061°10'52.0""W","208,0"
SNAX,SP0016,Marcelo Pires Halzhausen,ASSIS,São Paulo,Assis,São Paulo,-22.64,-50.453056,"22°38'24.0""S","050°27'11.0""W","564,0"
SBBU,SP0017,Bauru,BAURU,São Paulo,Bauru,São Paulo,-22.343611,-49.053889,"22°20'37.0""S","049°03'14.0""W","617,0"
SDDR,SP0021,Dracena,DRACENA,São Paulo,Dracena,São Paulo,-21.460556,-51.606944,"21°27'38.0""S","051°36'25.0""W","372,0"
SBJD,SP0031,Comandante Rolim Adolfo Amaro,JUNDIAÍ,São Paulo,Jundiaí,São Paulo,-23.181667,-46.943611,"23°10'54.0""S","046°56'37.0""W","753,0"
SNFU,MG0063,Frutal,FRUTAL,Minas Gerais,Frutal,Minas Gerais,-20.004722,-48.958889,"20°00'17.0""S","048°57'32.0""W","549,0"
SBCZ,AC0002,Cruzeiro do Sul / Cruzeiro do Sul - Internacional,CRUZEIRO DO SUL,Acre,Cruzeiro do Sul,Acre,-7.5994444,-72.769444,"07°35'58.0""S","072°46'10.0""W","194,0"
SBFI,PR0002,Cataratas,FOZ DO IGUAÇU,Paraná,Foz do Iguaçu,Paraná,-25.600278,-54.485,"25°36'01.0""S","054°29'06.0""W","240,0"
SWHP,MT0006,Frederico Carlos Müller,ÁGUA BOA,Mato Grosso,Água Boa,Mato Grosso,-14.019722,-52.151944,"14°01'11.0""S","052°09'07.0""W","450,0"
SBJI,RO0005,Ji-Paraná,JI-PARANÁ,Rondônia,Ji-Paraná,Rondônia,-10.870556,-61.846667,"10°52'14.0""S","061°50'48.0""W","182,0"
SNBR,BA0011,Dom Ricardo Weberberger,BARREIRAS,Bahia,Barreiras,Bahia,-12.079167,-45.009444,"12°04'45.0""S","045°00'34.0""W","747,0"
SBAT,MT0003,Aeroporto Piloto Osvaldo Marques Dias,ALTA FLORESTA,Mato Grosso,Alta Floresta,Mato Grosso,-9.8663889,-56.105,"09°51'59.0""S","056°06'18.0""W","289,0"
SBTF,AM0004,Tefé,TEFÉ,Amazonas,Tefé,Amazonas,-3.3802778,-64.725278,"03°22'49.0""S","064°43'31.0""W","57,0"
SWPI,AM0006,Parintins,PARINTINS,Amazonas,Parintins,Amazonas,-2.6694444,-56.771111,"02°40'10.0""S","056°46'16.0""W","26,0"
SBMK,MG0004,Mário Ribeiro,MONTES CLAROS,Minas Gerais,Montes Claros,Minas Gerais,-16.706111,-43.821944,"16°42'22.0""S","043°49'19.0""W","668,0"
SBAX,MG0008,Romeu Zema,ARAXÁ,Minas Gerais,Araxá,Minas Gerais,-19.560556,-46.965556,"19°33'38.0""S","046°57'56.0""W","999,0"
SNOS,MG0024,José Figueiredo,PASSOS,Minas Gerais,Passos,Minas Gerais,-20.733333,-46.659722,"20°44'00.0""S","046°39'35.0""W","822,0"
SNAE,PE0007,Arcoverde,ARCOVERDE,Pernambuco,Arcoverde,Pernambuco,-8.4077778,-37.088333,"08°24'28.0""S","037°05'18.0""W","634,0"
SDPN,SP0024,Aeroporto Estadual Dr. Ramalho Franco,PENÁPOLIS,São Paulo,Penápolis,São Paulo,-21.410278,-50.031944,"21°24'37.0""S","050°01'55.0""W","418,0"
SDNO,SP0061,Nelson Garófalo,SÃO MANUEL,São Paulo,São Manuel,São Paulo,-22.696111,-48.576111,"22°41'46.0""S","048°34'34.0""W","734,0"
SWLC,GO0009,General Leite de Castro,RIO VERDE,Goiás,Rio Verde,Goiás,-17.834722,-50.956111,"17°50'05.0""S","050°57'22.0""W","751,0"
SBKP,SP0003,Viracopos,CAMPINAS,São Paulo,Campinas,São Paulo,-23.006944,-47.134444,"23°00'25.0""S","047°08'04.0""W","661,0"
SJRG,RS0013,Regional de Rio Grande,RIO GRANDE,Rio Grande do Sul,Rio Grande,Rio Grande do Sul,-32.083333,-52.1675,"32°05'00.0""S","052°10'03.0""W","8,0"
SNXB,MG0025,Caxambu,CAXAMBU,Minas Gerais,Caxambu,Minas Gerais,-21.9175,-44.969444,"21°55'03.0""S","044°58'10.0""W","865,0"
SBFL,SC0001,Hercílio Luz,FLORIANÓPOLIS,Santa Catarina,Florianópolis,Santa Catarina,-27.670278,-48.5525,"27°40'13.0""S","048°33'09.0""W","5,0"
SBPG,PR0012,Comandante Antônio Amilton Beraldo,PONTA GROSSA,Paraná,Ponta Grossa,Paraná,-25.184444,-50.143889,"25°11'04.0""S","050°08'38.0""W","789,0"
SBCG,MS0001,Campo Grande Internacional,CAMPO GRANDE,Mato Grosso do Sul,Campo Grande,Mato Grosso do Sul,-20.469444,-54.670278,"20°28'10.0""S","054°40'13.0""W","559,0"
SNGN,PE0006,Garanhuns,GARANHUNS,Pernambuco,Garanhuns,Pernambuco,-8.8344444,-36.471389,"08°50'04.0""S","036°28'17.0""W","759,0"
SDJV,SP0035,Municipal de São João da Boa Vista,SÃO JOÃO DA BOA VISTA,São Paulo,São João da Boa Vista,São Paulo,-22.016667,-46.840556,"22°01'00.0""S","046°50'26.0""W","762,0"
SBJU,CE0002,Orlando Bezerra de Menezes,JUAZEIRO DO NORTE,Ceará,Juazeiro do Norte,Ceará,-7.2191667,-39.269444,"07°13'09.0""S","039°16'10.0""W","409,0"
SBRD,MT0004,Rondonópolis - Maestro Marinho Franco,RONDONÓPOLIS,Mato Grosso,Rondonópolis,Mato Grosso,-16.588056,-54.721667,"16°35'17.0""S","054°43'18.0""W","447,0"
SBME,RJ0004,Macaé,MACAÉ,Rio de Janeiro,Macaé,Rio de Janeiro,-22.342778,-41.763889,"22°20'34.0""S","041°45'50.0""W","2,0"
SNHS,PE0005,Santa Magalhães,SERRA TALHADA,Pernambuco,Serra Talhada,Pernambuco,-8.0613889,-38.328611,"08°03'41.0""S","038°19'43.0""W","470,0"
SBUF,BA0007,Paulo Afonso,PAULO AFONSO,Bahia,Paulo Afonso,Bahia,-9.4011111,-38.251111,"09°24'04.0""S","038°15'04.0""W","269,0"
SDIY,BA0013,João Durval Carneiro,FEIRA DE SANTANA,Bahia,Feira de Santana,Bahia,-12.200556,-38.906389,"12°12'02.0""S","038°54'23.0""W","238,0"
SNMX,ES0003,Aeródromo Público de São Mateus,SÃO MATEUS,Espírito Santo,São Mateus,Espírito Santo,-18.721389,-39.833611,"18°43'17.0""S","039°50'01.0""W","30,0"
SBBW,MT0008,Barra do Garças,BARRA DO GARÇAS,Mato Grosso,Barra do Garças,Mato Grosso,-15.860833,-52.389444,"15°51'39.0""S","052°23'22.0""W","350,0"
SBNF,SC0002,Navegantes / Ministro Victor Konder - Internacional,NAVEGANTES,Santa Catarina,Navegantes,Santa Catarina,-26.878611,-48.650833,"26°52'43.0""S","048°39'03.0""W","5,0"
SBJV,SC0004,Lauro Carneiro de Loyola,JOINVILLE,Santa Catarina,Joinville,Santa Catarina,-26.223056,-48.797778,"26°13'23.0""S","048°47'52.0""W","5,0"
SBSP,SP0001,Congonhas,SÃO PAULO,São Paulo,São Paulo,São Paulo,-23.626111,-46.656389,"23°37'34.0""S","046°39'23.0""W","802,0"
SBMT,SP0007,Campo de Marte,SÃO PAULO,São Paulo,São Paulo,São Paulo,-23.506667,-46.633889,"23°30'24.0""S","046°38'02.0""W","722,0"
SBAQ,SP0012,Bartolomeu de Gusmão,ARARAQUARA,São Paulo,Araraquara,São Paulo,-21.804444,-48.140278,"21°48'16.0""S","048°08'25.0""W","711,0"
SWXQ,SP0015,Lins,LINS,São Paulo,Lins,São Paulo,-21.662778,-49.731111,"21°39'46.0""S","049°43'52.0""W","480,0"
SWGN,TO0002,Araguaína,ARAGUAÍNA,Tocantins,Araguaína,Tocantins,-7.2283333,-48.240833,"07°13'42.0""S","048°14'27.0""W","235,0"
SNCP,SC0181,Aeroporto Regional do Planalto Serrano,CORREIA PINTO,Santa Catarina,Lages,Santa Catarina,-27.634167,-50.358333,"27°38'03.0""S","050°21'30.0""W","880,0"
SSOE,SC0015,Hélio Wasum,DESCANSO,Santa Catarina,São Miguel do Oeste,Santa Catarina,-26.781111,-53.503333,"26°46'52.0""S","053°30'12.0""W","665,0"
SBPL,PE0002,Aeroporto Internacional Senador Nilo Coelho,PETROLINA,Pernambuco,Petrolina,Pernambuco,-9.3675,-40.563611,"09°22'03.0""S","040°33'49.0""W","384,0"
SDZG,CE0008,Pedro Teixeira Castelo Regional Tauá,TAUÁ,Ceará,Tauá,Ceará,-5.9333333,-40.2975,"05°56'00.0""S","040°17'51.0""W","444,0"
SDIM,SP0033,Dr. Antonio Ribeiro Nogueira Júnior,ITANHAÉM,São Paulo,Itanhaém,São Paulo,-24.164722,-46.785556,"24°09'53.0""S","046°47'08.0""W","3,0"
SBJE,CE0003,Comandante Ariston Pessoa,CRUZ,Ceará,Cruz,Ceará,-2.9066667,-40.358056,"02°54'24.0""S","040°21'29.0""W","27,0"
SBSG,RN0001,Aeroporto Internacional do Rio Grande do Norte / São Gonçalo do Amarante - Governador Aluizio Alves,SÃO GONÇALO DO AMARANTE,Rio Grande do Norte,Natal,Rio Grande do Norte,-5.7688889,-35.366389,"05°46'08.0""S","035°21'59.0""W","83,0"
SNCX,ES0004,Colatina,COLATINA,Espírito Santo,Colatina,Espírito Santo,-19.4875,-40.579444,"19°29'15.0""S","040°34'46.0""W","153,0"
SDCO,SP0027,Sorocaba,SOROCABA,São Paulo,Sorocaba,São Paulo,-23.477778,-47.49,"23°28'40.0""S","047°29'24.0""W","635,0"
SBBH,MG0003,Pampulha - Carlos Drummond de Andrade,BELO HORIZONTE,Minas Gerais,Belo Horizonte,Minas Gerais,-19.851944,-43.950556,"19°51'07.0""S","043°57'02.0""W","789,0"
SBVG,MG0019,Major Brigadeiro Trompowsky,VARGINHA,Minas Gerais,Varginha,Minas Gerais,-21.588889,-45.473333,"21°35'20.0""S","045°28'24.0""W","922,0"
SBGV,MG0032,Coronel Altino Machado,GOVERNADOR VALADARES,Minas Gerais,Governador Valadares,Minas Gerais,-18.896944,-41.986111,"18°53'49.0""S","041°59'10.0""W","171,0"
SBSI,MT0002,Presidente João Batista Figueiredo,SINOP,Mato Grosso,Sinop,Mato Grosso,-11.885,-55.586111,"11°53'06.0""S","055°35'10.0""W","374,0"
SBMA,PA0004,João Corrêa da Rocha,MARABÁ,Pará,Marabá,Pará,-5.3680556,-49.138056,"05°22'05.0""S","049°08'17.0""W","109,0"
SBLO,PR0003,Governador José Richa,LONDRINA,Paraná,Londrina,Paraná,-23.330278,-51.136667,"23°19'49.0""S","051°08'12.0""W","569,0"
SSFB,PR0021,Paulo Abdala,FRANCISCO BELTRÃO,Paraná,Francisco Beltrão,Paraná,-26.058889,-53.063333,"26°03'32.0""S","053°03'48.0""W","640,0"
SBRJ,RJ0002,Santos Dumont,RIO DE JANEIRO,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,-22.91,-43.1625,"22°54'36.0""S","043°09'45.0""W","3,0"
SNKR,PI0012,Corrente,CORRENTE,Piauí,Corrente,Piauí,-10.451944,-45.136389,"10°27'07.0""S","045°08'11.0""W","473,0"
